,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
80,80,5.954633045544233,2026-06-04 16:13:48.833838,2026-06-04 16:13:49.637576,0 days 00:00:00.803738,0.027531010853204245,3,4,329,0.007863732520080498,0.001987671536974739,0.6625076340498893,COMPLETE
81,81,5.977821819413136,2026-06-04 16:13:49.640551,2026-06-04 16:13:52.423874,0 days 00:00:02.783323,0.013673111364742334,6,5,818,0.0023670001565835987,0.0011042583114962664,0.6025373373787993,COMPLETE
82,82,5.877947984550305,2026-06-04 16:13:52.426404,2026-06-04 16:13:54.099442,0 days 00:00:01.673038,0.014560879773366463,5,3,569,0.0012868092836496399,0.0015355340986735633,0.5884743147570062,COMPLETE
83,83,5.805054549436271,2026-06-04 16:13:54.102166,2026-06-04 16:13:56.298651,0 days 00:00:02.196485,0.011170480572607396,4,3,969,0.0021681913342355796,0.001853154239682403,0.6550675185653858,COMPLETE
84,84,5.853157353280948,2026-06-04 16:13:56.301599,2026-06-04 16:13:58.526111,0 days 00:00:02.224512,0.015616178578744462,4,1,917,0.0018222822885782793,0.0028923969014003183,0.6559350183271168,COMPLETE
85,85,6.26972937439425,2026-06-04 16:13:58.528672,2026-06-04 16:14:00.235333,0 days 00:00:01.706661,0.17443856795569232,3,1,833,0.36074520894353046,0.029904554886487814,0.7074879947775382,COMPLETE
86,86,5.912217073158788,2026-06-04 16:14:00.237849,2026-06-04 16:14:02.428857,0 days 00:00:02.191008,0.01595548954925257,4,4,961,0.0058684179416672875,0.0015165747532335547,0.605815017403377,COMPLETE
87,87,5.842432916544716,2026-06-04 16:14:02.431432,2026-06-04 16:14:06.100631,0 days 00:00:03.669199,0.014124511470888557,6,2,928,0.0024190287550348816,0.0013301630771258928,0.6631451302240575,COMPLETE
88,88,11.28481021358115,2026-06-04 16:14:06.103824,2026-06-04 16:14:07.419397,0 days 00:00:01.315573,0.010780004994984401,4,5,708,4.187918988332326,0.0010269815282088796,0.6665280897011058,COMPLETE
89,89,5.87034404852829,2026-06-04 16:14:07.421909,2026-06-04 16:14:09.146080,0 days 00:00:01.724171,0.010069483127478445,3,1,938,0.0026406001963132264,0.001694623673129046,0.5626066962205846,COMPLETE
90,90,6.327120112290092,2026-06-04 16:14:09.150181,2026-06-04 16:14:09.783021,0 days 00:00:00.632840,0.1918918086612274,3,7,264,0.11736330220557047,0.006674326922922003,0.6515465297288849,COMPLETE
91,91,9.328017373293095,2026-06-04 16:14:09.785671,2026-06-04 16:14:11.270648,0 days 00:00:01.484977,0.2817739416566181,10,1,978,3.7359287439938456,0.004355086044610544,0.5601047109987775,COMPLETE
92,92,5.791080180891023,2026-06-04 16:14:11.273256,2026-06-04 16:14:13.259878,0 days 00:00:01.986622,0.012587149091725031,5,2,641,0.02098167049222976,0.0038521065023329293,0.6199959935347988,COMPLETE
93,93,6.546926025977807,2026-06-04 16:14:13.262466,2026-06-04 16:14:14.453004,0 days 00:00:01.190538,0.05409528349619982,7,8,389,0.46827180945126906,0.018951260217275147,0.9991161085177047,COMPLETE
94,94,5.9391417776357,2026-06-04 16:14:14.455554,2026-06-04 16:14:16.219635,0 days 00:00:01.764081,0.010351347146952843,6,1,438,0.04043681213928078,0.003047467193429709,0.5051764469620755,COMPLETE
95,95,10.307912802199183,2026-06-04 16:14:16.222249,2026-06-04 16:14:17.304818,0 days 00:00:01.082569,0.04186813566029391,7,9,642,4.546039297977515,7.942279757109955,0.8459188453198013,COMPLETE
96,96,6.668901667868697,2026-06-04 16:14:17.307393,2026-06-04 16:14:17.971367,0 days 00:00:00.663974,0.23610874388837005,10,8,320,0.8686045052796864,7.192465537922941,0.990918895100955,COMPLETE
97,97,7.293200854777497,2026-06-04 16:14:17.974056,2026-06-04 16:14:18.642284,0 days 00:00:00.668228,0.2998419816729937,7,5,379,1.7202409460783499,3.9912965066962025,0.619006632565988,COMPLETE
98,98,11.501987374195119,2026-06-04 16:14:18.645424,2026-06-04 16:14:19.675269,0 days 00:00:01.029845,0.03388132624530752,7,1,581,4.026800561156196,6.7761430848973525,0.5147616873597683,COMPLETE
99,99,6.676291290813751,2026-06-04 16:14:19.678219,2026-06-04 16:14:22.289283,0 days 00:00:02.611064,0.25618043297191406,8,7,909,0.017323591879778305,0.0018195237850272923,0.5899041638701111,COMPLETE
